"filename", "language", "XML", "Properties", "Batch", "Java", "TOML", "JSON", "comment", "blank", "total"
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/menu/bottom_nav.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/navigation/main_navigation.xml", "XML", 139, 0, 0, 0, 0, 0, 0, 14, 153
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/navigation/nav_app.xml", "XML", 80, 0, 0, 0, 0, 0, 0, 9, 89
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values-land/dimens.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values-night/themes.xml", "XML", 11, 0, 0, 0, 0, 0, 5, 0, 16
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values-w1240dp/dimens.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values-w600dp/dimens.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values/colors.xml", "XML", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values/dimens.xml", "XML", 7, 0, 0, 0, 0, 0, 1, 1, 9
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values/strings.xml", "XML", 29, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values/themes.xml", "XML", 21, 0, 0, 0, 0, 0, 5, 3, 29
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/xml/backup_rules.xml", "XML", 3, 0, 0, 0, 0, 0, 10, 0, 13
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/xml/data_extraction_rules.xml", "XML", 5, 0, 0, 0, 0, 0, 14, 0, 19
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/gradle.properties", "Properties", 0, 4, 0, 0, 0, 0, 19, 0, 23
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/gradle/libs.versions.toml", "TOML", 0, 0, 0, 0, 31, 0, 0, 4, 35
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/gradlew.bat", "Batch", 0, 0, 39, 0, 0, 0, 29, 22, 90
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/local.properties", "Properties", 0, 1, 0, 0, 0, 0, 9, 0, 10
"Total", "-", 4161, 12, 39, 372, 31, 29, 519, 556, 5719
